Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,870.0,8.0,72.0,2878.0,0.1,629.0,0.0,0.0,633.2303817272186,,,,,,,,,,,,,,,,,,,,,282.38266681792226,195.0300282603085,609.8876133281524,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,1049.0,9.0,179.0,3057.0,0.1,1699.0,0.0,0.0,650.2243947982788,,,,,,,,,,,,,,,,,,,,,776.1463432359964,473.6766546561535,1563.1946306273817,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,1194.0,10.0,145.0,3202.0,0.1,1224.0,0.0,0.0,664.4378662109375,,,,,,,,,,,,,,,,,,,,,574.449364808765,349.1209166936415,1142.9896784699906,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,1254.0,11.0,60.0,3262.0,0.1,518.0,0.0,0.0,670.6975512504578,,,,,,,,,,,,,,,,,,,,,232.97169606696662,162.65748493512464,505.03125571615857,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,1302.0,12.0,48.0,3310.0,0.1,407.0,0.0,0.0,675.7709467411041,,,,,,,,,,,,,,,,,,,,,183.2180363327644,129.87986669599974,399.0031415359576,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,1361.0,13.0,59.0,3369.0,0.1,499.0,0.0,0.0,681.8339033126831,,,,,,,,,,,,,,,,,,,,,220.61127699452643,158.27561640473198,486.95736242481007,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,1395.0,14.0,34.0,3403.0,0.1,249.0,0.0,0.0,685.5072002410889,,,,,,,,,,,,,,,,,,,,,102.36002932443007,84.08986158277763,246.01153606356047,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,1566.0,15.0,171.0,3574.0,0.1,1538.0,0.0,0.0,701.7307131290436,,,,,,,,,,,,,,,,,,,,,671.0552275180913,448.19668219493144,1426.100330655387,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,1881.0,16.0,315.0,3889.0,0.1,2843.0,0.0,0.0,732.1111149787903,,,,,,,,,,,,,,,,,,,,,1290.768719014691,698.2892168018302,2441.2879881987815,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,2203.0,17.0,322.0,4211.0,0.1,3039.0,0.0,0.0,763.3901908397675,,,,,,,,,,,,,,,,,,,,,1365.230886087293,772.0031521211694,2604.6022545868123,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,2316.0,18.0,113.0,4324.0,0.1,1039.0,0.0,0.0,774.7364842891693,,,,,,,,,,,,,,,,,,,,,475.15125668115166,306.1306513890332,987.281483680908,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,2400.0,19.0,84.0,4408.0,0.1,623.0,0.0,0.0,783.1625273227692,,,,,,,,,,,,,,,,,,,,,270.5327515647578,175.44858218453246,601.4776025961501,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,2534.0,20.0,134.0,4542.0,0.1,1267.0,0.0,0.0,796.42955327034,,,,,,,,,,,,,,,,,,,,,588.2103984117936,361.76094494410546,1190.5597355241323,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,304.0,1.0,304.0,4846.0,0.1,2958.0,0.0,0.0,1242.567551612854,,,,,,,,,,,,,,,,,,,,,1320.4057265752897,760.0400546026898,2561.717532468519,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,535.0,2.0,231.0,5077.0,0.1,2219.0,0.0,0.0,1264.8433997631073,,,,,,,,,,,,,,,,,,,,,1004.6507492327054,597.480300458575,1990.9054970157808,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,735.0,3.0,200.0,5277.0,0.1,1882.0,0.0,0.0,1284.3078286647797,,,,,,,,,,,,,,,,,,,,,845.9713603972641,523.7167232535834,1716.23648465337,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,830.0,4.0,95.0,5372.0,0.1,877.0,0.0,0.0,1293.7194421291351,,,,,,,,,,,,,,,,,,,,,406.88328405261956,259.83048770466706,840.0252985868761,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,938.0,5.0,108.0,5480.0,0.1,989.0,0.0,0.0,1304.1252517700195,,,,,,,,,,,,,,,,,,,,,451.8596152010432,292.9078073060521,942.0823842443918,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,1010.0,6.0,72.0,5552.0,0.1,566.0,0.0,0.0,1311.4128160476685,,,,,,,,,,,,,,,,,,,,,231.4035459521671,182.45334854836761,550.4392727977663,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,1065.0,7.0,55.0,5607.0,0.1,459.0,0.0,0.0,1316.905532836914,,,,,,,,,,,,,,,,,,,,,201.5872741462887,146.76674129273735,448.80987085379076,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
